DEBUG 2025-04-17 16:32:42,915 http_protocol HTTP 200 response started for ['127.0.0.1', 36016]
DEBUG 2025-04-17 16:32:42,915 http_protocol HTTP close for ['127.0.0.1', 36016]
DEBUG 2025-04-17 16:32:42,915 http_protocol HTTP response complete for ['127.0.0.1', 36016]
DEBUG 2025-04-17 16:33:12,958 http_protocol HTTP b'GET' request for ['127.0.0.1', 36098]
DEBUG 2025-04-17 16:33:12,964 http_protocol HTTP 200 response started for ['127.0.0.1', 36098]
DEBUG 2025-04-17 16:33:12,964 http_protocol HTTP close for ['127.0.0.1', 36098]
DEBUG 2025-04-17 16:33:12,964 http_protocol HTTP response complete for ['127.0.0.1', 36098]
DEBUG 2025-04-17 16:33:42,997 http_protocol HTTP b'GET' request for ['127.0.0.1', 44908]
DEBUG 2025-04-17 16:33:43,004 http_protocol HTTP 200 response started for ['127.0.0.1', 44908]
DEBUG 2025-04-17 16:33:43,005 http_protocol HTTP close for ['127.0.0.1', 44908]
DEBUG 2025-04-17 16:33:43,005 http_protocol HTTP response complete for ['127.0.0.1', 44908]
DEBUG 2025-04-17 16:34:13,045 http_protocol HTTP b'GET' request for ['127.0.0.1', 39718]
DEBUG 2025-04-17 16:34:13,050 http_protocol HTTP 200 response started for ['127.0.0.1', 39718]
DEBUG 2025-04-17 16:34:13,050 http_protocol HTTP close for ['127.0.0.1', 39718]
DEBUG 2025-04-17 16:34:13,050 http_protocol HTTP response complete for ['127.0.0.1', 39718]
DEBUG 2025-04-17 16:34:43,092 http_protocol HTTP b'GET' request for ['127.0.0.1', 53430]
DEBUG 2025-04-17 16:34:43,097 http_protocol HTTP 200 response started for ['127.0.0.1', 53430]
DEBUG 2025-04-17 16:34:43,097 http_protocol HTTP close for ['127.0.0.1', 53430]
DEBUG 2025-04-17 16:34:43,098 http_protocol HTTP response complete for ['127.0.0.1', 53430]
DEBUG 2025-04-17 16:35:13,132 http_protocol HTTP b'GET' request for ['127.0.0.1', 40560]
DEBUG 2025-04-17 16:35:13,139 http_protocol HTTP 200 response started for ['127.0.0.1', 40560]
DEBUG 2025-04-17 16:35:13,139 http_protocol HTTP close for ['127.0.0.1', 40560]
DEBUG 2025-04-17 16:35:13,140 http_protocol HTTP response complete for ['127.0.0.1', 40560]
DEBUG 2025-04-17 16:35:43,176 http_protocol HTTP b'GET' request for ['127.0.0.1', 48272]
DEBUG 2025-04-17 16:35:43,183 http_protocol HTTP 200 response started for ['127.0.0.1', 48272]
DEBUG 2025-04-17 16:35:43,183 http_protocol HTTP close for ['127.0.0.1', 48272]
DEBUG 2025-04-17 16:35:43,183 http_protocol HTTP response complete for ['127.0.0.1', 48272]
DEBUG 2025-04-17 16:36:13,224 http_protocol HTTP b'GET' request for ['127.0.0.1', 51292]
DEBUG 2025-04-17 16:36:13,230 http_protocol HTTP 200 response started for ['127.0.0.1', 51292]
DEBUG 2025-04-17 16:36:13,231 http_protocol HTTP close for ['127.0.0.1', 51292]
DEBUG 2025-04-17 16:36:13,231 http_protocol HTTP response complete for ['127.0.0.1', 51292]
DEBUG 2025-04-17 16:36:43,268 http_protocol HTTP b'GET' request for ['127.0.0.1', 51424]
DEBUG 2025-04-17 16:36:43,274 http_protocol HTTP 200 response started for ['127.0.0.1', 51424]
DEBUG 2025-04-17 16:36:43,275 http_protocol HTTP close for ['127.0.0.1', 51424]
DEBUG 2025-04-17 16:36:43,275 http_protocol HTTP response complete for ['127.0.0.1', 51424]
